K H I H	1042 0 1008
K V	1046 0 1017
U D	362 961 0 331 992
M R R W	1253 0 1232
G Q S Y	958 0 881 1035
O R	1243 0 1210
G P M Q	910 0 879
O V	959 0 928
A C A	830 892 954 0 786 999
S D	362 961 0 331 992
G M	918 0 887
T G	957 0 926
I D S	362 639 916 0 331 947
Q O	962 0 931
S V	959 0 928
S I	965 0 934
K U I	1046 0 1018
E A N S	422 669 916 0 391 947
N K R M	1240 0 1207
Y O L C	828 876 1001 0 785 1024
P H O	960 0 927
I T T F	910 0 879
L R A U	1243 0 1210
A A V A	966 0 935
R H	1241 0 1207
M A D R	899 1091 1248 0 866 1280
T R L	1243 0 1210
E T P D	410 0 333 458
V W L	957 0 926
F R P	1242 0 1210
A A U	345 0 314
S R	1243 0 1210
U K Q	1046 0 1015
P V W	936 0 905
G C	818 922 1025 0 784 1059
M A	966 0 935
K I C	1030 0 988 1093
F Q C U	345 582 819 0 314 850
Q Y	958 0 881 1035
R L F	1243 0 1210
F H P	1055 0 1022
K P A	1046 0 1018
G F	910 0 879
F I	965 0 934
T I	965 0 934
O C	818 922 1025 0 784 1059
T S T O	962 0 931
F A I	965 0 934
F V L	957 0 926
I F R A	1243 0 1210
O W P	1057 0 1025
N V K	1047 0 1015
W E A E	431 0 374 469
M E U E	431 0 374 469
S Q A P	1057 0 1025
K T	1046 0 1015
P L P M	918 0 887
L F	910 0 879
K D	975 0 925 1079
K Q	1046 0 1015
K M E	983 0 932 1080
T N	877 0 846
S R M D	955 1120 1248 0 922 1280
Q V A	966 0 935
W Q O V	959 0 928
C N P H	832 0 783 943
R U F	1243 0 1210
Q N	877 0 846
W C N	848 0 787 909
M C N	848 0 787 909
F D	362 961 0 331 992
G U G	957 0 926
V N H K	1045 0 1011
Q M I C	818 922 1025 0 784 1059
F U F	910 0 879
D K	896 0 859 1082
A I	965 0 934
F P D	362 961 0 331 992
Y L	982 0 927 1038
T T W	936 0 905
C T M	868 0 788 949
P K C	1030 0 988 1093
L G Q K	1047 0 1015
U Y H O	973 0 928 1042
Y W Q	959 0 883 1035
D I W	362 940 0 331 971
Q C K	893 0 862 1082
C F	864 0 788 941
L N O I	965 0 934
F Q	910 0 879
F V P S	912 0 881
M I U E	422 695 968 0 391 999
O T R	1243 0 1210
V D M	362 922 0 331 953
L O	962 0 931
T F	910 0 879
L U R	1243 0 1210
A H N	875 0 842
H P L O	960 0 927
N S	912 0 881
N C I	831 892 953 0 786 998
K L H	1044 0 1011
T Q	910 0 879
E G F Q	422 668 914 0 391 945
T Q W D	362 961 0 331 992
K T P	1065 0 1045
A K M	1046 0 1015
L W L N	877 0 846
G M E F	422 668 914 0 391 945
G O N L	957 0 926
H P	1055 0 1022
G R	1243 0 1210
D E K	420 659 899 0 395 931
U R T S	1243 0 1210
D Y F	362 623 918 0 331 947
P W	936 0 905
W T	907 0 876
Y T F R	1000 1147 1245 0 970 1279
A D F Q	362 638 914 0 331 945
H N W S	910 0 877
H C P	813 958 1058 0 780 1091
P G U	345 0 314
T R Q	1243 0 1210
C A T I	831 892 953 0 786 998
L I N	877 0 846
F V K	1047 0 1015
E R	899 1091 1248 0 866 1280
M U M P	1057 0 1025
D U M	362 922 0 331 953
R K	1240 0 1207
G D	362 961 0 331 992
C A	830 892 954 0 786 999
D W R	899 1091 1248 0 866 1280
Y L R D	982 0 924 1041
M W C	818 922 1025 0 784 1059
M E D U	365 0 303 398
T D Y	362 622 916 0 331 945
P A V H	912 0 879
U H	912 0 879
Q N Q Q	910 0 879
R E	962 1124 1247 0 930 1280
P H L P	1055 0 1022
P L V D	362 961 0 331 992
O O	962 0 931
F I L	957 0 926
U A	966 0 935
A A T R	1243 0 1210
A K E	983 0 932 1080
T C P	816 938 1059 0 784 1092
E I O Y	422 652 916 0 391 945
A Q	910 0 879
S R E	962 1124 1247 0 930 1280
D R N	875 1079 1248 0 843 1280
M S A	966 0 935
V H R T	1241 0 1207
K L	1046 0 1017
I C Q	864 0 788 941
W R	1243 0 1210
T K O U	1048 0 1015
M C R U	813 1047 1249 0 781 1280
R D	955 1120 1248 0 922 1280
E Q S	422 669 916 0 391 947
F U	345 0 314
O K R W	1240 0 1207
E D	410 0 333 458
U Y T	957 0 880 1035
D L	362 961 0 331 992
D H	595 774 917 0 563 949
S F P F	910 0 879
O Y A	987 0 934 1040
D S A D	371 0 314 409
Y M	963 0 891 1035
P I R	1243 0 1210
W K M S	1046 0 1015
H M	916 0 883
P I C H	832 0 783 943
H N F	908 0 875
H G	955 0 922
W N F	910 0 879
W A	966 0 935
Q T T S	912 0 881
M P A W	936 0 905
E V	422 693 963 0 391 994
N E W M	422 672 922 0 391 953
D N S	362 639 916 0 331 947
D S	362 639 916 0 331 947
A M	918 0 887
O O N	877 0 846
H D L I	595 799 969 0 563 1000
W I	965 0 934
M M O	962 0 931
T L Q	910 0 879
Y V	983 0 928 1038
O S L	957 0 926
P L K I	1046 0 1018
F N Y	958 0 881 1035
A I R	1243 0 1210
U L U	345 0 314
O Y W	972 0 908 1035
Y C U	345 567 821 0 314 854
F N D E	410 0 333 458
U F Q H	912 0 879
N F H Q	908 0 875
S Q Q V	959 0 928
U V R U	1243 0 1210
D R	899 1091 1248 0 866 1280
F A F E	422 695 968 0 391 999
A W A	966 0 935
R O	1243 0 1210
L S	912 0 881
K H	1044 0 1011
R N A	1243 0 1210
O T Q H	912 0 879
K I A H	1044 0 1011
V F P E	422 695 968 0 391 999
Q F C	818 922 1025 0 784 1059
G A T D	362 961 0 331 992
S E P	422 1061 0 391 1092
P D	362 961 0 331 992
D G N H	595 774 917 0 563 949
H T O	960 0 927
W Y	958 0 881 1035
G N G	957 0 926
E K D S	420 669 919 0 395 951
F O R O	1243 0 1210
A E	422 695 968 0 391 999
V H H	910 0 876
Q P F	910 0 879
C M R	897 1091 1248 0 869 1280
C Y M	911 0 790 952
V V I T	907 0 876
C E	422 605 822 0 391 854
P L G I	965 0 934
E W R N	875 1079 1248 0 843 1280
U Y T D	362 962 0 331 985
R Y	1000 1147 1245 0 971 1279
H M O A	964 0 931
F A E	422 695 968 0 391 999
P P Q	910 0 879
V W Q I	965 0 934
D W D	371 0 314 409
H N H	910 0 876
R T U H	1241 0 1207
F L	957 0 926
Q G D	362 961 0 331 992
D U Q	362 638 914 0 331 945
K N W G	1046 0 1017
R W T	1243 0 1210
D W O C	362 575 821 0 331 854
I P E V	422 693 963 0 391 994
A P	1057 0 1025
Q I	965 0 934
U A V C	818 922 1025 0 784 1059
K E L	975 0 925 1079
H D U D	374 488 601 0 353 635
H A W A	964 0 931
K E I H	917 0 878 1079
K O G A	1046 0 1018
H V	957 0 924
P O C Y	899 0 790 943
U O	962 0 931
O I P	1057 0 1025
W F E U	386 0 318 453
W I N	877 0 846
L Y	958 0 881 1035
T I U C	818 922 1025 0 784 1059
L A W	936 0 905
P E	422 695 968 0 391 999
W U	345 0 314
N E W	422 681 940 0 391 971
Q Y V	983 0 928 1038
A R S	1243 0 1210
I L T U	345 0 314
H Y W K	1008 0 967 1090
U Q D	362 961 0 331 992
V F S	912 0 881
G E T L	422 692 961 0 391 992
I C L	835 888 941 0 786 990
W Q	910 0 879
L E	422 695 968 0 391 999
P M E	422 695 968 0 391 999
U T	907 0 876
V L M	918 0 887
U K S	1046 0 1015
O U T U	345 0 314
H I W	934 0 901
V K	1047 0 1015
W O Q	910 0 879
O C I G	835 888 941 0 786 990
T T G	957 0 926
Y G	982 0 927 1038
I P	1057 0 1025
A W H H	910 0 876
H I F	908 0 875
T Y D	362 962 0 331 985
G H F Y	926 0 876 1033
C U	345 582 819 0 314 850
V N	877 0 846
M W O	962 0 931
Y W Q U	345 1008 0 314 1039
H L H U	606 0 585
Y W Y G	992 0 925 1020
E V I K	896 0 859 1082
T T K	1047 0 1015
R F Q	1243 0 1210
K E W P	1048 0 1009 1106
N U	345 0 314
P I	965 0 934
T E	422 695 968 0 391 999
A F V E	422 695 968 0 391 999
F D O U	356 0 308 403
T F W	936 0 905
C M U	345 582 819 0 314 850
I N K	1047 0 1015
U H H	910 0 876
E I	422 696 969 0 391 1000
S M S V	959 0 928
N D W S	362 639 916 0 331 947
N A Q T	907 0 876
A S S R	1243 0 1210
G E L P	422 1061 0 391 1092
H U A	964 0 931
N T M S	912 0 881
O N C	818 922 1025 0 784 1059
D A	362 970 0 331 1001
W P C	818 922 1025 0 784 1059
L Y A Y	989 0 884 1017
A H F	908 0 875
V A E	422 695 968 0 391 999
K G	1046 0 1017
H K	1045 0 1011
T L W S	912 0 881
H C T Q	833 0 783 939
T K	1047 0 1015
I O L	957 0 926
Y T M	963 0 891 1035
Y V L	982 0 927 1038
N D S S	362 639 916 0 331 947
A V Q E	422 695 968 0 391 999
E K	896 0 859 1082
T W	936 0 905
G W	936 0 905
A U C	818 922 1025 0 784 1059
A O A T	907 0 876
L L P	1057 0 1025
C L Q Q	864 0 788 941
N C D Q	362 575 823 0 331 852
E A	422 696 970 0 391 1001
S A	966 0 935
D M N N	362 622 881 0 331 912
E L Q	422 668 914 0 391 945
Y C K	982 0 864 1030
H F G	955 0 922
N A	966 0 935
M V	959 0 928
Y E S	422 654 920 0 391 949
N V W	936 0 905
V F	910 0 879
C O I	831 892 953 0 786 998
P Y	958 0 881 1035
A O F	910 0 879
T U G	957 0 926
R F	1243 0 1210
H Q E	594 798 968 0 562 999
O V P	1057 0 1025
Y I	986 0 933 1039
K F O P	1065 0 1045
N N	877 0 846
K P M	1046 0 1015
I F L	957 0 926
S Q S P	1057 0 1025
V T H	912 0 879
V F W G	957 0 926
D H L O	595 797 966 0 563 997
U E P	422 1061 0 391 1092
C H T	833 0 783 936
F F M	918 0 887
U F R	1243 0 1210
A I N H	912 0 879
U Y	958 0 881 1035
K V I L	1046 0 1017
N Q R	1243 0 1210
U M	918 0 887
Q V	959 0 928
U V Q	910 0 879
V D Q C	362 575 821 0 331 854
A V	959 0 928
G A A	966 0 935
H K H Q	1042 0 1008
U G W I	965 0 934
I O V O	962 0 931
T G T S	912 0 881
K C I	982 0 933 1080
O G H I	963 0 930
N K	1047 0 1015
I A K T	1046 0 1015
V R F	1243 0 1210
Y W V T	957 0 880 1035
S A L	957 0 926
A G	957 0 926
I T	907 0 876
S H	912 0 879
Y T P	1032 0 975 1090
V D	362 961 0 331 992
Y G T	957 0 880 1035
K P	1065 0 1045
R P	1242 0 1210
L W	936 0 905
C P Y	899 0 790 943
T S A E	422 695 968 0 391 999
A O	962 0 931
U A O A	966 0 935
P R I	1243 0 1210
I A F	910 0 879
D L W	362 940 0 331 971
S Q	910 0 879
K F	1046 0 1015
K R M F	1240 0 1207
P A Q O	962 0 931
W T O	962 0 931
K G H	1044 0 1011
K N K V	1058 0 1038
G D Q	362 638 914 0 331 945
V A T K	1047 0 1015
U A F	910 0 879
V H S L	955 0 922
D P G T	362 637 911 0 331 942
M N F U	345 0 314
F C L	835 888 941 0 786 990
L M Y	958 0 881 1035
W O K	1047 0 1015
Y E G C	422 596 823 0 391 857
I F K A	1046 0 1018
M O T	907 0 876
W P H	912 0 879
P V E	422 695 968 0 391 999
K T O A	1046 0 1018
I V P	1057 0 1025
U L D	362 961 0 331 992
K N H	1044 0 1011
V R C P	1058 1183 1235 0 1023 1278
V O	962 0 931
V G H	912 0 879
A O H	912 0 879
G H R	1241 0 1207
M W G N	877 0 846
A Y A W	972 0 908 1035
L P L K	1047 0 1015
F Y S P	1032 0 975 1090
S D T I	362 969 0 331 1000
A E O F	422 668 914 0 391 945
L D	362 961 0 331 992
T T M K	1047 0 1015
G V N M	918 0 887
T S Q	910 0 879
F E Y	422 652 916 0 391 945
O L Y	958 0 881 1035
I K F	1046 0 1015
P N E Q	422 668 914 0 391 945
M G	957 0 926
S T W	936 0 905
L W U	345 0 314
G R E	962 1124 1247 0 930 1280
D R F	908 1096 1248 0 875 1280
G S I	965 0 934
I W U	345 0 314
N K E M	927 0 885 1080
Q G	957 0 926
R N O R	1253 0 1232
M P P	1057 0 1025
C R R G	1236 0 1200 1302
P N Q	910 0 879
K V S	1046 0 1015
P R	1243 0 1210
G S Y H	933 0 882 1033
N M	918 0 887
H P Y M	937 0 886 1034
O I	965 0 934
S T O T	907 0 876
I P E R	899 1091 1248 0 866 1280
U N M I	965 0 934
O P E Q	422 668 914 0 391 945
V F F H	912 0 879
D F W	362 940 0 331 971
R V F H	1241 0 1207
N N R	1243 0 1210
Q H U M	916 0 883
K A C U	814 955 1050 0 781 1084
I E	422 695 968 0 391 999
R O L	1243 0 1210
U V	959 0 928
A C A Q	864 0 788 941
E S Y	422 652 916 0 391 945
H Q	908 0 875
P Q N	877 0 846
K S R	1240 0 1207
G A K	1047 0 1015
N T T G	957 0 926
E S T	422 667 911 0 391 942
Y Y U	345 997 0 314 1017
T O E G	422 692 961 0 391 992
P G	957 0 926
O S M	918 0 887
P Y R I	1005 1148 1245 0 982 1279
D Q T S	362 639 916 0 331 947
P F T	907 0 876
T K G L	1046 0 1017
N W K P	1065 0 1045
V Q H N	875 0 842
D C G M	362 575 823 0 331 853
G U E S	422 669 916 0 391 947
N M P G	957 0 926
U E M U	386 0 318 453
S M	918 0 887
G T Y	958 0 881 1035
O H D C	598 708 818 0 563 853
W H U	595 0 563
W A Q	910 0 879
A H T K	1045 0 1011
R Q U C	1024 1159 1243 0 990 1279
R W C R	1236 0 1200 1302
A W W	936 0 905
F V S	912 0 881
F H U	595 0 563
O H	912 0 879
U A H U	595 0 563
D F T	362 637 911 0 331 942
W N K	1047 0 1015
P N O	962 0 931
K S W	1046 0 1015
P G H	912 0 879
C U P Y	899 0 790 943
R M	1243 0 1210
P Y R T	1000 1147 1245 0 971 1279
N N K U	1048 0 1015
V I V	959 0 928
W S	912 0 881
O W	936 0 905
Q R	1243 0 1210
G M M	918 0 887
A A Y	958 0 881 1035
P I C	818 922 1025 0 784 1059
V O C	818 922 1025 0 784 1059
P E O L	422 692 961 0 391 992
N Y N D	362 962 0 331 985
E Q D V	410 0 333 458
R F G	1243 0 1210
H G Y	926 0 876 1033
K O M	1046 0 1015
R N Y F	1000 1147 1245 0 971 1279
E H G	594 795 961 0 562 992
D O	362 966 0 331 997
F Y U K	1015 0 971 1087
P K	1047 0 1015
W M	918 0 887
O Y V	983 0 928 1038
R V V	1243 0 1210
D P U	356 0 308 403
I C	818 922 1025 0 784 1059
V N K	1047 0 1015
E T W	422 681 940 0 391 971
M M F	910 0 879
E C	422 605 821 0 391 854
V M O Q	910 0 879
P H O V	957 0 924
C T D V	362 575 822 0 331 854
Q T	907 0 876
R A N	1243 0 1210
M N H	912 0 879
V R C	1024 1159 1243 0 990 1279
R F A	1243 0 1210
V R	1243 0 1210
M R I	1243 0 1210
D R M G	955 1120 1248 0 922 1280
M K P	1065 0 1045
K S G	1046 0 1017
T Y R U	1003 1147 1245 0 970 1279
P L H	912 0 879
M D	362 961 0 331 992
K K	1058 0 1037
K N	1047 0 1015
A S P I	965 0 934
Q U Y	958 0 881 1035
P L	957 0 926
O H G L	955 0 922
I S D P	362 1061 0 331 1092
K L Q Q	1046 0 1015
K W	1046 0 1015
L P I	965 0 934
Q P U S	912 0 881
O Y E Q	422 653 918 0 391 947
P H	912 0 879
F E	422 695 968 0 391 999
P E V	422 693 963 0 391 994
V V	959 0 928
Q P D	362 961 0 331 992
C C L	824 0 767 861
Y K A	1014 0 981 1086
H A	964 0 931
R O C	1024 1159 1243 0 990 1279
G S R	1243 0 1210
U R A C	1024 1159 1243 0 990 1279
R H R	1251 0 1229
N C G S	865 0 788 943
C U Y F	901 0 790 945
M S	912 0 881
T L P O	962 0 931
R S S	1243 0 1210
S M K	1047 0 1015
R V	1243 0 1210
P P I	965 0 934
Y F D G	362 962 0 331 985
K Q V	1046 0 1017
N L N	877 0 846
T U N T	907 0 876
K F P	1065 0 1045
D W A G	362 961 0 331 992
Q T U	345 0 314
S Q A	966 0 935
C V D O	362 575 822 0 331 854
W C	818 922 1025 0 784 1059
A D Q A	362 970 0 331 1001
O F T	907 0 876
W W K G	1046 0 1017
G V W M	918 0 887
R U	1243 0 1210
D L O D	371 0 314 409
F Q K	1047 0 1015
D G N E	410 0 333 458
E E U	407 0 320 436
A F	910 0 879
C G V R	897 1091 1248 0 869 1280
I T R T	1243 0 1210
Q L A	966 0 935
W C Q	864 0 788 941
M H	912 0 879
R G O	1243 0 1210
M I U	345 0 314
C Q	864 0 788 941
O C Y H	878 0 785 947
K A	1046 0 1018
W N R	1243 0 1210
R G D S	910 1097 1248 0 877 1280
L R	1243 0 1210
G G C	818 922 1025 0 784 1059
W I U N	877 0 846
T V H	912 0 879
W T U	345 0 314
F S I	965 0 934
Y H S	930 0 880 1033
P L D G	362 961 0 331 992
O T	907 0 876
D M N W	362 940 0 331 971
I Y A	987 0 934 1040
O S N	877 0 846
Q M A	966 0 935
F T V	959 0 928
V S	912 0 881
F E P	422 1061 0 391 1092
R M F R	1253 0 1232
A K P K	1058 0 1037
S A O	962 0 931
L W G H	912 0 879
D W U	356 0 308 403
M Y L	982 0 927 1038
H N O Q	908 0 875
Q P	1057 0 1025
A Q V	959 0 928
Y V N A	987 0 934 1040
C V	834 889 944 0 786 992
G W I	965 0 934
W L I G	957 0 926
G D I	362 969 0 331 1000
D U	356 0 308 403
D F W C	362 575 821 0 331 854
U R	1243 0 1210
G A R P	1242 0 1210
H O I	963 0 930
G O E O	422 694 966 0 391 997
V D G	362 961 0 331 992
I G M	918 0 887
G K	1047 0 1015
S D Y Q	362 623 918 0 331 947
C W I L	835 888 941 0 786 990
U S	912 0 881
S G N	877 0 846
A O A D	362 961 0 331 992
E H W G	594 795 961 0 562 992
G S V K	1047 0 1015
C M	868 0 788 949
M K	1047 0 1015
W A N	877 0 846
C I	831 892 953 0 786 998
C Q I	831 892 953 0 786 998
N E	422 695 968 0 391 999
Y Q F	959 0 883 1035
S K L M	1046 0 1015
L E O	422 694 966 0 391 997
H P T D	595 795 961 0 563 992
Y S W K	1015 0 971 1087
I S	912 0 881
Q F W D	362 961 0 331 992
K U S T	1046 0 1015
N P A	966 0 935
R C I	962 1125 1247 0 930 1280
D Q M	362 922 0 331 953
O U N I	965 0 934
K L V F	1046 0 1015
E I T G	422 692 961 0 391 992
G U F	910 0 879
F W	936 0 905
S E T	422 667 911 0 391 942
Q S L H	912 0 879
F K Q	1046 0 1015
P G F	910 0 879
T Y R D	982 0 924 1041
O Q S	912 0 881
T P S	912 0 881
A Q G C	818 922 1025 0 784 1059
D Q T Q	362 638 914 0 331 945
Y S A	987 0 934 1040
Y C V	958 0 788 986
R P P C	1024 1159 1243 0 990 1279
V C	818 922 1025 0 784 1059
G U Y	958 0 881 1035
D H A	595 799 970 0 563 1001
G R G	1243 0 1210
D D O	371 0 314 409
M H G	955 0 922
M O H V	957 0 924
Q M F K	1047 0 1015
V D O L	362 961 0 331 992
S T	907 0 876
W O M L	957 0 926
L C	818 922 1025 0 784 1059
U V S	912 0 881
W S U N	877 0 846
U O U C	818 922 1025 0 784 1059
A W E	422 695 968 0 391 999
E M Y O	422 679 966 0 391 989
C U E H	597 707 821 0 563 852
V N Y	958 0 881 1035
F Q S W	936 0 905
E A L G	422 692 961 0 391 992
S T P E	422 695 968 0 391 999
Y D D M	375 0 309 411
W F F	910 0 879
S M V	959 0 928
A K K	1058 0 1037
N C	818 922 1025 0 784 1059
O K S V	1046 0 1017
M V P M	918 0 887
U N I G	957 0 926
I V K	1047 0 1015
Q K G	1046 0 1017
T S D H	595 774 917 0 563 949
W K O	1046 0 1017
Y N	913 942 972 0 849 1036
D O V W	362 940 0 331 971
O U D	362 961 0 331 992
D S V M	362 922 0 331 953
M R	1243 0 1210
L D M	362 922 0 331 953
M C	818 922 1025 0 784 1059
A Q Q	910 0 879
